9201001	['6321', '9098']
9201002	['5672', '2676', '221', '6488', '7518']
9201003	['5986']
9201004	['2639']
9201005	['3402']
9201006	['3718']
9201007	['4861', '2058', '4825']
9201008	['8840']
9201009	['5851']
9201010	['5610', '5238', '2626']
9201011	['5610', '5238', '2626']
9201012	['2626', '6839']
9201013	['5610', '2188', '5238', '2626', '6839']
9201014	['70', '3128']
9201015	['408', '1398', '2952']
9201016	['5298']
9201017	['4670', '3188']
9201018	['5443']
9201019	['192', '1530', '7604']
9201020	['6817', '989']
9201021	['1930', '895']
9201022	['7816']
9201023	['6414']
9201024	['2805', '6601', '4249', '2599']
9201025	['171', '3201', '4309']
9201026	['6871', '2934']
9201027	['2444', '3873', '202']
9201028	['2872', '7596']
9201029	['3553']
9201030	['2805', '6601', '7577', '2599']
9201031	['4739']
9201032	['302']
9201033	['1052', '1868']
9201034	['2864', '4703']
9201035	['4774', '6484']
9201036	['122', '6540']
9201037	['8792']
9201038	['2374', '4260', '1239', '6521']
9201039	['2192', '3268', '7451']
9201040	['1764', '2777']
9201041	['5912']
9201042	['1694', '5025']
9201043	['1694', '5025']
9201044	['3281', '3776']
9201045	['4600', '2390']
9201046	['4600', '2390']
9201047	['8806']
9201048	['2214', '7048', '8101', '2899']
9201049	['6100']
9201050	['1762', '6414', '1428', '425']
9201051	['171', '7106', '3201', '4309']
9201052	['3387', '4095']
9201053	['3018']
9201054	['1689']
9201055	['6321', '9098']
9201056	['200', '2777']
9201057	['3554']
9201058	['5727', '7800']
9201059	['8013', '328', '6569']
9201060	['7294', '1673']
9201061	['6236', '7562', '2000', '6899']
9201062	['6293', '7048', '8101', '4386']
9201063	['7440', '751']
9201064	['6893']
9201065	['124', '4262', '1505']
9201066	['124', '4262', '1505']
9201067	['1341', '3524', '42']
9201068	['6760', '5025', '5404']
9201069	['6760', '5025', '5404']
9201070	['2130', '4019', '3087']
9201071	['177', '1139', '338']
9201072	['4517']
9201073	['9069']
9201074	['8501', '895', '730']
9201075	['6600', '1388']
9201076	['2839']
9201077	['992']
9201078	['2955', '1454', '2026']
9201079	['6160', '2195']
9201080	['3740', '4720', '4786', '986']
9202001	['4904', '2221']
9202002	['1454', '7479']
9202003	['7440', '751']
9202004	['2785', '5627']
9202005	['7481']
9202006	['1052', '1868']
9202007	['6714', '2955', '1454']
9202008	['6743']
9202009	['3040', '1676', '2380', '2343']
9202010	['5447']
9202011	['980', '229']
9202012	['7525', '3879', '602']
9202013	['3214']
9202014	['8013', '835']
9202015	['2777']
9202016	['8292', '3449']
9202017	['6150']
9202018	['3979', '3156', '1632']
9202019	['8853']
9202020	['3333']
9202021	['2587']
9202022	['5147']
9202023	['6770', '1632']
9202024	['8394', '6961']
9202025	['1312']
9202026	['6666', '3774']
9202027	['5447']
9202028	['3500']
9202029	['8947']
9202030	['179', '1989', '2458']
9202031	['6512']
9202032	['5477']
9202033	['2302', '2035']
9202034	['6499', '750']
9202035	['5573']
9202036	['2302', '502']
9202037	['4886']
9202038	['179', '6923', '1989']
9202039	['4124', '2910']
9202040	['6316', '1780']
9202041	['4781']
9202042	['302']
9202043	['4230', '578', '5995']
9202045	['3294']
9202046	['1136', '121']
9202047	['7776', '4071']
9202048	['7405']
9202049	['1520', '860']
9202050	['6106', '1636']
9202051	['479', '70', '3128']
9202052	['2141', '1583', '2214', '2507', '6521']
9202053	['512', '1659']
9202054	['571', '5147', '1659']
9202055	['6722']
9202056	['1709', '1348']
9202057	['394']
9202058	['4062', '3257']
9202059	['8079', '1426']
9202060	['6414', '1428', '1089', '425']
9202061	['555']
9202062	['2777', '2045']
9202063	['571', '1659']
9202064	['179']
9202065	['4378', '7057']
9202066	['6579']
9202067	['4861']
9202068	['2762', '3934', '4952']
9202069	['1341', '3524', '42']
9202070	['584', '3084']
9202071	['91']
9202072	['1195']
9202073	['94', '6839']
9202074	['2403']
9202075	['2785', '8248']
9202076	['5147']
9202077	['19', '4498']
9202078	['588']
9202079	['571', '5147', '1659']
9202080	['4262', '5544']
9202081	['1874']
9202082	['3951', '642']
9202083	['1676', '2380']
9202084	['1676', '3238', '2380']
9202085	['3580', '1452', '71']
9202086	['7604']
9202087	['971', '5912']
9202089	['1768', '3621', '6312', '5897']
9202090	['3005']
9202092	['4714', '3318']
9203001	['8702']
9203002	['5010', '4262']
9203003	['3049', '3198', '4136']
9203004	['6354', '226', '467', '853']
9203005	['4129', '5690']
9203006	['2301', '7586', '4116']
9203007	['6945', '6518']
9203008	['2814', '2125']
9203009	['794', '1052', '1868']
9203010	['5396']
9203011	['2956']
9203012	['1155', '454', '1199']
9203013	['5354', '7699', '5955', '1393']
9203014	['2248', '8205']
9203015	['1765', '5260']
9203016	['7694', '5967']
9203017	['2496']
9203018	['1004']
9203019	['3398']
9203020	['3201']
9203021	['3073', '2437']
9203022	['603', '1877', '2035']
9203023	['1386', '3496', '7670', '961']
9203024	['6414', '1428', '1089', '425']
9203025	['454', '3560', '4323']
9203026	['5253']
9203027	['6654']
9203028	['1671']
9203029	['5784', '2953']
9203030	['8337', '1098']
9203031	['6743']
9203032	['7554']
9203033	['1930']
9203034	['5820']
9203035	['4379', '1511']
9203036	['50', '737']
9203037	['2017', '3772']
9203038	['2184', '6189', '5821']
9203039	['452', '2934']
9203040	['3979', '3156', '1632']
9203041	['1608', '5147']
9203042	['2785', '5627', '842', '340']
9203043	['5610', '2188', '5238', '2626']
9203044	['5610', '2505', '5238', '2626']
9203045	['2947', '2943']
9203046	['2075', '4163', '5906']
9203047	['2075', '4163', '5906']
9203048	['5672', '2676', '221', '6488', '7518']
9203049	['7816']
9203050	['7995', '4952']
9203051	['989', '963']
9203052	['2275']
9203053	['3839', '5025', '3357']
9203054	['8501', '730']
9203055	['3433', '5956', '5025']
9203056	['4763', '3803']
9203057	['4857']
9203058	['2839', '7078']
9203059	['5627']
9203060	['2257', '2221']
9203061	['2221']
9203062	['3451']
9203063	['4266']
9203064	['2391', '6158']
9203065	['2391', '6158']
9203066	['1639', '426']
9203067	['8694', '6579']
9203068	['6579']
9203069	['6442', '2241']
9203070	['2302', '502']
9203071	['2020', '1375', '639']
9203072	['795']
9203073	['4927']
9203074	['2410']
9203075	['171', '1768']
9203076	['734']
9203077	['14']
